Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0xd5a6c836cf90da8c3ed8880abd2730e217f2bc12,0,0,0,0,0,0
0x665268715678f9a1357c83907d5e5f725ac59973,0,0,0,0,0,0
0xa3544d5a648d8b4649455c836743b4ab49289bc1,0,0,0,0,0,0
0xacb2585fd7d245d3066c0dff81edfbea0afc63cc,0,0,0,0,0,0
0x11a4373cdbe76eb7dda4aa36093bf95f4d411929,0,0,0,0,0,0
0x2fb2c1f8e51f46de0e423c086fd4fa35b0510b06,0,0,0,0,0,0
0xd07489f577b041cf5e38c3c6c06a3cf388bdc1e1,0,0,0,0,0,0
0xf4faca935238f1f12ce0e5499a567946b8556a0b,0,0,0,0,0,0
0xfc1a540517fb09d967b5fb22c63f975b1e729d4c,0,0,0,0,0,0
0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,0,0,0,0,0,0
0x5c9e034967af745c96739bc63c5fa9bc402e3529,0,0,0,0,0,0
0x1d21dd4d82f8f162b562570125937ac1488b1930,0,0,0,0,0,0
0xb9388206648ce2e17ec5e536b558f0707ff7517a,0,0,0,0,0,0
0x6e36de4db8210e641d13703545b4aca6fd02e116,17,-3231.38067,1,2,0.333333333,13592.525
0xe2cea50ba5a302a691b93692e74786d6484db295,36,-15626.80945,1,3,0.25,-108955.3317
0xf4adb9ba51fde3eaee89ce9a60e99992611849fd,426,-1217.390182,41,43,0.488095238,-8513.702562
0x123be94bca3e5ae858039112d14c1c740a3989f9,1,0,0,0,0,57.60538369
0xac89a53c033d5146da003ee21ac8fadb5ac34db3,32,303.5102206,4,3,0.571428571,-1219.296322
0x425cf119cd9f0200d0c8fae2c38de9526dfbcfb1,0,0,0,0,0,0
0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0,0,0,0,0,0
0xf81c1d67b9c1f80eb30c610e2a78c2a1b1fb013c,0,0,0,0,0,0
0xe6563194f9baa6e3064086a98bf73608fc17cbfd,3,0,0,0,0,-42175.03014
0x049397bd8325e0089decf676eb42c134ea65bb90,4,-1.169490256,0,1,0,-461.3763192
0x00000031fd4b1a11ee2749f47d66f561b45eaf31,0,0,0,0,0,0
0x56e1b883a7ee8c948d014af899e2710b8b89de6d,2,-303.1644478,0,1,0,0
0x8b515f969318c02adec760e54183ff100efd54fa,42,-4254.262407,12,7,0.631578947,-9632.596838
0x8a7dacf37cb36507e56937e854cf2654b0bff2d6,10,0,0,0,0,5664.048703
0x23df7d65617f4b40f4e12405466a5e1ffe6f38de,20,-86.02609529,2,5,0.285714286,-781.5035784
0x87e6888935180a9b27a9b48b75c9b779bfec1f76,5,0,0,0,0,-243340.2262
0x47584f11a998c19dda33d8ca4002fbe892ac899b,22,5425.20969,7,1,0.875,-7024.881123
0xdaef4f083631febac8a7628e173ed1a77761bcbb,6,9.157708994,2,0,0,79.91518836
0x5a3e28c2bf04989e6a7506a9ef845ae2dbc6d90a,0,0,0,0,0,0
0xa53a13a80d72a855481de5211e7654fabdfe3526,51,-5.127524101,0,1,0,-78877.84944
0x19cf388796c31fa7a583270d82659ecd2b4fd490,0,0,0,0,0,0
0x978aad63fe35f7a72573c411c3dff53608aaeac9,11,2582.589936,3,0,0,413.2918542
0x6b254f8a91e255a4fb916501f896e15522799d82,1,0,0,0,0,-2763.131801
0xb50edc59d7554d21a5a16b5a128bfcaf1279f2f0,3,0,0,0,0,-4553.80601
0xef6d69922bc2d038cb508086846524f8011c4a74,0,0,0,0,0,0
0x53a2f447c61152917493679f8105811198648d81,35,0,0,0,0,76.9332538
0x962de35217e9d4d0d79e8106a3d5ea121fe71685,66,1056.773803,6,6,0.5,-1348.077296
0x99611cd42b6281a9cbdee97f9e4bff51a8b1c5cc,14,100.9860275,5,4,0.555555556,155.3229686
0xd7d7d68e4bdcf85c073485ab7bfd151b0c019f1f,3,0,0,0,0,89.86270993
0x382f672b95ece16acf684ce05eb9665f826ff10a,0,0,0,0,0,0
0x3595a1508cb1180e8e7f50008db1109f5293efc5,0,0,0,0,0,0
0xf7ae063de5ef4bcbb98b2bd27afb66c59d885fc0,0,0,0,0,0,0
0x5169f520bfb1b67dddfc7120a66ba68bb8d3cb4d,1,0,0,0,0,20.08510699
0x0f4bc970e348a061b69d05b7e2e5c13eb687e5e3,0,0,0,0,0,0
0xbeea79aa02534d1a7466cb49447b62308750c95e,1,0,0,0,0,-700.8857998
0x3a567303b207c6d906a8fcc380a2c307ece7051d,2,0,0,0,0,-38416.97191
0xba944abd6ad261b220dcc8ba6b53410cb024fcb1,0,0,0,0,0,0
0x736011b7d04d8a014efdae6a653e3405f3cdc720,1,0,0,0,0,5.077732489
0x346c802df3404bec2f265603db28b815321251ee,0,0,0,0,0,0
0x303f2d38ab911296deca9dc19968a854d9cbcadc,21,158.8305756,6,0,0,-1230.710529
